R,c,tau,requested,alive
1.0,0.75,3.1333333333333333,120,120
1.0,0.75,3.1666666666666665,120,120
1.0,0.75,3.2,120,120
1.0,0.75,3.2333333333333334,120,120
1.0,0.75,3.2666666666666666,120,120
1.0,0.75,3.3,120,120
1.0,0.75,3.3333333333333335,120,120
1.0,0.75,3.3666666666666667,120,120
1.0,0.75,3.4,120,120
1.0,0.75,3.433333333333333,120,120
1.0,0.75,3.466666666666667,120,120
1.0,0.75,3.5,120,120
1.0,0.75,3.533333333333333,120,120
1.0,0.75,3.5666666666666664,120,120
1.0,0.75,3.6,120,120
1.0,0.75,3.6333333333333333,120,120
1.0,0.75,3.6666666666666665,120,120
1.0,0.75,3.6999999999999997,120,120
1.0,0.75,3.7333333333333334,120,120
1.0,0.75,3.7666666666666666,120,120
1.0,0.75,3.8,120,120
1.0,0.75,3.8333333333333335,120,120
1.0,0.75,3.8666666666666667,120,120
1.0,0.75,3.9,120,120
1.0,0.75,3.933333333333333,120,120
1.0,0.75,3.966666666666667,120,120
1.0,0.75,4.0,120,120
1.0,0.75,4.033333333333333,120,120
1.0,0.75,4.066666666666666,120,120
1.0,0.75,4.1,120,120
1.0,0.75,4.133333333333333,120,120
1.0,0.75,4.166666666666667,120,120
1.0,0.75,4.2,120,120
1.0,0.75,4.233333333333333,120,120
1.0,0.75,4.266666666666667,120,120
1.0,0.75,4.3,120,120
1.0,0.75,4.333333333333333,120,120
1.0,0.75,4.366666666666666,120,120
1.0,0.75,4.4,120,120
1.0,0.75,4.433333333333334,120,120
1.0,0.75,4.466666666666667,120,120
1.0,0.75,4.5,120,120
1.0,0.75,4.533333333333333,120,120
1.0,0.75,4.566666666666666,120,120
1.0,0.75,4.6,120,120
1.0,0.75,4.633333333333333,120,120
1.0,0.75,4.666666666666667,120,120
1.0,0.75,4.7,120,120
1.0,0.75,4.733333333333333,120,120
1.0,0.75,4.766666666666667,120,120
1.0,0.75,4.8,120,120
1.0,0.75,4.833333333333333,120,120
1.0,0.75,4.866666666666666,120,120
1.0,0.75,4.9,120,120
1.0,0.75,4.933333333333334,120,120
1.0,0.75,4.966666666666667,120,120
1.0,0.75,5.0,120,120
1.0,1.0,0.0,120,120
1.0,1.0,0.03333333333333333,120,120
1.0,1.0,0.06666666666666667,120,120
1.0,1.0,0.1,120,120
1.0,1.0,0.13333333333333333,120,120
1.0,1.0,0.16666666666666666,120,120
1.0,1.0,0.2,120,120
1.0,1.0,0.23333333333333334,120,120
1.0,1.0,0.26666666666666666,120,120
1.0,1.0,0.3,120,120
1.0,1.0,0.3333333333333333,120,120
1.0,1.0,0.36666666666666664,120,120
1.0,1.0,0.4,120,120
1.0,1.0,0.43333333333333335,120,120
1.0,1.0,0.4666666666666667,120,120
1.0,1.0,0.5,120,120
1.0,1.0,0.5333333333333333,120,120
1.0,1.0,0.5666666666666667,120,120
1.0,1.0,0.6,120,120
1.0,1.0,0.6333333333333333,120,120
1.0,1.0,0.6666666666666666,120,120
1.0,1.0,0.7,120,120
1.0,1.0,0.7333333333333333,120,120
1.0,1.0,0.7666666666666666,120,120
1.0,1.0,0.8,120,120
1.0,1.0,0.8333333333333334,120,120
1.0,1.0,0.8666666666666667,120,120
1.0,1.0,0.9,120,120
1.0,1.0,0.9333333333333333,120,120
1.0,1.0,0.9666666666666667,120,120
1.0,1.0,1.0,120,120
1.0,1.0,1.0333333333333332,120,120
1.0,1.0,1.0666666666666667,120,120
1.0,1.0,1.1,120,120
1.0,1.0,1.1333333333333333,120,120
1.0,1.0,1.1666666666666667,120,120
1.0,1.0,1.2,120,120
1.0,1.0,1.2333333333333334,120,120
1.0,1.0,1.2666666666666666,120,120
1.0,1.0,1.3,120,120
1.0,1.0,1.3333333333333333,120,120
1.0,1.0,1.3666666666666667,120,120
1.0,1.0,1.4,120,120
1.0,1.0,1.4333333333333333,120,120
1.0,1.0,1.4666666666666666,120,120
1.0,1.0,1.5,120,120
1.0,1.0,1.5333333333333332,120,120
1.0,1.0,1.5666666666666667,120,120
1.0,1.0,1.6,120,120
1.0,1.0,1.6333333333333333,120,120
1.0,1.0,1.6666666666666667,120,120
1.0,1.0,1.7,120,120
1.0,1.0,1.7333333333333334,120,120
1.0,1.0,1.7666666666666666,120,120
1.0,1.0,1.8,120,120
1.0,1.0,1.8333333333333333,120,120
1.0,1.0,1.8666666666666667,120,120
1.0,1.0,1.9,120,120
1.0,1.0,1.9333333333333333,120,120
1.0,1.0,1.9666666666666666,120,120
1.0,1.0,2.0,120,120
1.0,1.0,2.033333333333333,120,120
1.0,1.0,2.0666666666666664,120,120
1.0,1.0,2.1,120,120
